,Unnamed: 0,Price,Area,Location,No. of Bedrooms,Resale,MaintenanceStaff,Gymnasium,SwimmingPool,LandscapedGardens,JoggingTrack,RainWaterHarvesting,IndoorGames,ShoppingMall,Intercom,SportsFacility,ATM,ClubHouse,School,24X7Security,PowerBackup,CarParking,StaffQuarter,Cafeteria,MultipurposeRoom,Hospital,WashingMachine,Gasconnection,AC,Wifi,Children'splayarea,LiftAvailable,BED,VaastuCompliant,Microwave,GolfCourse,TV,DiningTable,Sofa,Wardrobe,Stadium
0,0,30000000,3340,JP Nagar Phase 1,4.0,0.0,1.0,1.0,,1.0,1.0,1,1.0,0.0,,1.0,0,1.0,0.0,1.0,1,0,0.0,0.0,0.0,0.0,0,0,0,0,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
1,1,7888000,1045,Dasarahalli on Tumkur Road,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1,1.0,0.0,0.0,1.0,0,1.0,0.0,1.0,1,1,0.0,0.0,1.0,0.0,0,0,0,0,1.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0,0.0
2,2,4866000,1179,Kannur on Thanisandra Main Road,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1,0.0,0.0,1.0,0.0,0,0.0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,1.0,1.0,0.0,0,0.0,0.0,,0.0,0.0,0,0.0
3,3,8358000,1675,Doddanekundi,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0,0.0,0.0,,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
4,4,6845000,1670,Kengeri,3.0,0.0,1.0,1.0,1.0,1.0,1.0,1,1.0,0.0,1.0,1.0,0,,0.0,1.0,1,1,0.0,0.0,1.0,0.0,0,0,0,0,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
5,5,6797000,1220,Horamavu,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1,1.0,0.0,1.0,1.0,0,1.0,0.0,1.0,1,1,0.0,0.0,1.0,0.0,0,0,0,0,1.0,1.0,,0,0.0,0.0,0.0,0.0,0.0,0,0.0
6,6,20000000,2502,Thanisandra,4.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0.0,0.0,1.0,0.0,0,1.0,0.0,1.0,1,1,0.0,,0.0,0.0,0,0,0,0,1.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0,0.0
7,7,7105000,1438,Ramamurthy Nagar,3.0,0.0,0.0,1.0,0.0,0.0,1.0,1,0.0,0.0,1.0,0.0,0,0.0,0.0,1.0,1,1,0.0,0.0,1.0,0.0,0,0,0,0,1.0,1.0,,1,0.0,0.0,0.0,0.0,0.0,0,0.0
8,8,8405000,1405,Whitefield Hope Farm Junction,3.0,,0.0,,,1.0,1.0,1,0.0,0.0,1.0,0.0,0,0.0,0.0,1.0,1,0,0.0,1.0,1.0,0.0,0,0,0,0,0.0,0.0,0.0,1,0.0,0.0,0.0,,0.0,0,0.0
9,9,3506000,660,Electronic City Phase 1,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,0.0,1,1.0,0.0,1.0,1,1,0.0,0.0,1.0,0.0,0,0,0,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
