,Unnamed: 0,Price,Area,Location,No. of Bedrooms,Resale,MaintenanceStaff,Gymnasium,SwimmingPool,LandscapedGardens,JoggingTrack,RainWaterHarvesting,IndoorGames,ShoppingMall,Intercom,SportsFacility,ATM,ClubHouse,School,24X7Security,PowerBackup,CarParking,StaffQuarter,Cafeteria,MultipurposeRoom,Hospital,WashingMachine,Gasconnection,AC,Wifi,Children'splayarea,LiftAvailable,BED,VaastuCompliant,Microwave,GolfCourse,TV,DiningTable,Sofa,Wardrobe,Stadium
0,0,5500000,1310,Perungalathur,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
1,1,5350000,1126,Madhavaram,2.0,0.0,0.0,1.0,1.0,1.0,,1,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,1,0,0.0,0.0,1.0,0.0,0,0,0,0,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
2,2,8205000,1307,Karapakkam,3.0,0.0,0.0,1.0,1.0,1.0,1.0,1,1.0,,1.0,1.0,0,1.0,0.0,1.0,1,1,0.0,1.0,1.0,0.0,0,0,0,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
3,3,23400000,3600,Thiruvidandhai,3.0,0.0,0.0,1.0,1.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0,1.0,0.0,1.0,1,0,0.0,1.0,0.0,0.0,0,0,0,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
4,4,10100000,1700,Iyappanthangal,3.0,0.0,0.0,1.0,,1.0,,0,,0.0,0.0,,0,1.0,0.0,0.0,1,0,0.0,0.0,,0.0,0,0,0,0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0,0.0
5,5,2950000,576,,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1,1.0,0.0,1.0,1.0,0,1.0,0.0,1.0,1,1,1.0,0.0,0.0,0.0,0,0,0,0,1.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0,0.0
6,6,7600000,1207,Kolapakkam,3.0,0.0,0.0,1.0,1.0,0.0,1.0,1,1.0,0.0,1.0,,0,1.0,0.0,1.0,1,1,0.0,0.0,0.0,0.0,0,0,0,0,1.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0,
7,7,2234000,604,Kundrathur,2.0,,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
8,8,5521000,986,Pammal,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,,0.0,0.0,0.0,0,0,0,0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
9,9,6321000,1345,Puzhal,3.0,0.0,0.0,1.0,1.0,1.0,0.0,1,1.0,0.0,0.0,0.0,0,0.0,0.0,1.0,1,1,0.0,0.0,,0.0,0,0,0,0,1.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0,0.0
10,10,3404000,510,Selaiyur,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,0,0.0,0.0,,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
11,11,11600000,1508,Thoraipakkam OMR,3.0,0.0,,1.0,,,,1,1.0,0.0,1.0,0.0,0,,0.0,0.0,1,1,0.0,0.0,,,0,0,0,0,0.0,1.0,0.0,0,0.0,,,0.0,0.0,0,0.0
12,12,6536000,1245,Karapakkam,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0,0.0,0.0,1.0,0.0,0,0.0,0.0,1.0,1,1,0.0,1.0,1.0,0.0,0,0,0,0,1.0,1.0,,0,0.0,0.0,0.0,0.0,0.0,0,0.0
13,13,24200000,1565,Anna Nagar,3.0,0.0,0.0,,0.0,1.0,0.0,0,0.0,0.0,,0.0,0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0,0.0
14,14,8162000,1306,Mogappair,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
15,15,6190000,1113,Sholinganallur,2.0,0.0,0.0,,0.0,0.0,1.0,1,0.0,0.0,0.0,,0,0.0,0.0,0.0,1,0,,0.0,1.0,0.0,0,0,0,0,1.0,0.0,0.0,0,0.0,,0.0,0.0,0.0,0,0.0
16,16,9613000,1479,Mogappair,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0,0.0,0.0,1.0,1,1,0.0,0.0,,0.0,0,0,0,0,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
17,17,7542000,1640,,3.0,0.0,,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1,1,1.0,1.0,0.0,1.0,0,0,0,0,1.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0,0.0
18,18,6338000,1112,Medavakkam,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,,0,0,0,0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0,0.0
19,19,2724000,645,Avadi,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1,1.0,0.0,0.0,0.0,0,1.0,0.0,1.0,1,0,,0.0,1.0,0.0,0,0,0,0,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
20,20,5500000,1310,Perungalathur,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
