,Unnamed: 0,Price,Area,Location,No. of Bedrooms,Resale,MaintenanceStaff,Gymnasium,SwimmingPool,LandscapedGardens,JoggingTrack,RainWaterHarvesting,IndoorGames,ShoppingMall,Intercom,SportsFacility,ATM,ClubHouse,School,24X7Security,PowerBackup,CarParking,StaffQuarter,Cafeteria,MultipurposeRoom,Hospital,WashingMachine,Gasconnection,AC,Wifi,Children'splayarea,LiftAvailable,BED,VaastuCompliant,Microwave,GolfCourse,TV,DiningTable,Sofa,Wardrobe,Stadium
0,0,6968000,1340,Nizampet,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1,1.0,0.0,1.0,0.0,0,1.0,0.0,1.0,1,1,0.0,0.0,1.0,0.0,0,0,0,0,1.0,1.0,0.0,1,0.0,0.0,0.0,,0.0,0,0.0
1,1,29000000,3498,Hitech City,4.0,0.0,0.0,1.0,1.0,1.0,1.0,1,1.0,0.0,1.0,0.0,1,1.0,0.0,1.0,1,1,1.0,0.0,1.0,0.0,0,0,0,0,1.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0,0.0
2,2,6590000,1318,Manikonda,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,0.0,0,0,0,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
3,3,5739000,1295,Alwal,3.0,1.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
4,4,5679000,1145,Kukatpally,2.0,0.0,0.0,0.0,0.0,1.0,,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0,0,0,0,1.0,1.0,0.0,0,,0.0,0.0,0.0,0.0,0,0.0
5,5,6099000,1230,Nizampet,2.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
6,6,7000000,1350,Manikonda,,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,,0.0,0.0,0,0,0,0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
7,7,4198000,1400,Gachibowli,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0.0,0.0,1.0,1.0,0,1.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0,1,0,0,,1.0,0.0,0,0.0,0.0,,0.0,0.0,0,0.0
8,8,9900000,2240,Tellapur,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0,,0.0,1.0,1,0,0.0,1.0,0.0,0.0,0,0,0,0,1.0,0.0,0.0,0,0.0,0.0,0.0,,,0,0.0
9,9,9800000,1520,Gachibowli,2.0,1.0,,0.0,0.0,,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,,0,0,0,0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
