,Unnamed: 0,Price,Area,Location,No. of Bedrooms,Resale,MaintenanceStaff,Gymnasium,SwimmingPool,LandscapedGardens,JoggingTrack,RainWaterHarvesting,IndoorGames,ShoppingMall,Intercom,SportsFacility,ATM,ClubHouse,School,24X7Security,PowerBackup,CarParking,StaffQuarter,Cafeteria,MultipurposeRoom,Hospital,WashingMachine,Gasconnection,AC,Wifi,Children'splayarea,LiftAvailable,BED,VaastuCompliant,Microwave,GolfCourse,TV,DiningTable,Sofa,Wardrobe,Stadium
0,0,2235000,1016,Barasat,,0.0,0.0,,1.0,1.0,1.0,0,1.0,0.0,,0.0,0,0.0,0.0,1.0,1,0,0.0,0.0,0.0,0.0,0,0,0,0,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
1,1,3665999,1111,Keshtopur,2.0,0.0,1.0,1.0,0.0,,1.0,0,0.0,0.0,1.0,0.0,0,0.0,0.0,1.0,1,0,0.0,0.0,0.0,0.0,0,0,0,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,0,0.0
2,2,3774000,1020,,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,1,0,0.0,0.0,0.0,0.0,0,0,0,0,,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
3,3,2524000,935,Narendrapur,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0,1.0,0.0,1.0,0.0,0,1.0,0.0,,1,0,0.0,0.0,0.0,0.0,0,0,0,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
4,4,8300000,1956,New Town,3.0,1.0,,1.0,1.0,1.0,1.0,1,1.0,0.0,1.0,1.0,0,1.0,0.0,1.0,1,1,1.0,1.0,1.0,0.0,0,0,0,0,1.0,1.0,0.0,1,0.0,0.0,,0.0,0.0,0,0.0
5,5,3761000,1179,Joka,3.0,0.0,0.0,1.0,0.0,1.0,0.0,1,1.0,0.0,0.0,0.0,0,0.0,0.0,1.0,1,1,0.0,1.0,0.0,0.0,0,0,0,0,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
6,6,9727000,1107,Tangra,3.0,,0.0,1.0,,1.0,1.0,0,1.0,0.0,0.0,0.0,0,1.0,0.0,1.0,0,1,0.0,0.0,0.0,0.0,0,0,0,0,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
7,7,3372999,1041,Sonarpur,3.0,0.0,0.0,1.0,1.0,1.0,1.0,0,1.0,,0.0,0.0,0,1.0,0.0,1.0,1,0,0.0,0.0,0.0,0.0,0,0,0,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
8,8,3990999,1174,Sonarpur,3.0,,1.0,,1.0,1.0,1.0,0,1.0,0.0,0.0,1.0,0,1.0,0.0,1.0,1,0,0.0,1.0,,0.0,0,0,0,0,1.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0,0.0
9,9,4629000,1342,Madhyamgram,3.0,0.0,1.0,1.0,1.0,1.0,1.0,1,1.0,0.0,1.0,1.0,0,0.0,0.0,1.0,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0,0.0
