,Unnamed: 0,Price,Area,Location,No. of Bedrooms,Resale,MaintenanceStaff,Gymnasium,SwimmingPool,LandscapedGardens,JoggingTrack,RainWaterHarvesting,IndoorGames,ShoppingMall,Intercom,SportsFacility,ATM,ClubHouse,School,24X7Security,PowerBackup,CarParking,StaffQuarter,Cafeteria,MultipurposeRoom,Hospital,WashingMachine,Gasconnection,AC,Wifi,Children'splayarea,LiftAvailable,BED,VaastuCompliant,Microwave,GolfCourse,TV,DiningTable,Sofa,Wardrobe,Stadium
0,0,4850000,720,Kharghar,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,1,1,,0.0,0.0,0.0,0,0,0,0,0.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0,0.0
1,1,4500000,600,Kharghar,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1,0.0,0.0,0.0,,0,1.0,0.0,1.0,1,1,1.0,0.0,0.0,0.0,0,0,0,0,0.0,1.0,,1,0.0,0.0,0.0,0.0,0.0,0,
2,2,6700000,650,Kharghar,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1,0.0,0.0,1.0,0.0,0,1.0,0.0,1.0,1,1,1.0,0.0,0.0,0.0,0,0,0,0,1.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0,0.0
3,3,4500000,650,Kharghar,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1,0.0,0.0,1.0,0.0,0,0.0,0.0,1.0,1,1,1.0,0.0,0.0,0.0,0,0,1,1,0.0,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0
4,4,5000000,665,Kharghar,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1,0.0,0.0,1.0,0.0,0,0.0,0.0,1.0,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0,0.0
5,5,17000000,2000,Kharghar,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.0,1.0,,0.0,1,1.0,1.0,1.0,1,1,1.0,0.0,0.0,1.0,0,0,0,0,1.0,1.0,0.0,1,0.0,,0.0,0.0,0.0,0,0.0
6,6,12500000,1550,Kharghar,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0,0.0,0.0,1.0,0.0,0,0.0,0.0,1.0,1,1,0.0,,0.0,0.0,0,1,0,0,0.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0,0.0
7,7,10500000,1370,Sector-13 Kharghar,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1.0,0.0,0,0.0,0.0,1.0,1,1,0.0,0.0,0.0,0.0,0,0,1,0,0.0,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,1,0.0
8,8,10500000,1356,Kharghar,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1,0.0,0.0,1.0,0.0,0,1.0,0.0,1.0,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0,0.0
9,9,15000000,1680,Kharghar,3.0,1.0,1.0,1.0,1.0,,1.0,1,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1,1,1.0,0.0,0.0,1.0,0,1,0,1,1.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0,0.0
10,10,8700000,980,Kharghar,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1,1,1.0,0.0,0.0,1.0,0,0,0,0,0.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0,0.0
11,11,9000000,1000,Kharghar,2.0,1.0,1.0,,0.0,1.0,0.0,1,0.0,0.0,1.0,0.0,0,0.0,0.0,1.0,1,1,0.0,0.0,0.0,0.0,0,0,0,0,1.0,1.0,0.0,1,0.0,,0.0,0.0,0.0,0,0.0
12,12,11000000,1060,Kharghar,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1,0.0,1.0,1.0,0.0,1,1.0,0.0,1.0,1,1,0.0,,0.0,0.0,0,0,0,0,1.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0,0.0
13,13,10500000,1095,Kharghar,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,0.0,1.0,0.0,0,1.0,0.0,1.0,1,1,0.0,0.0,1.0,0.0,0,0,0,0,1.0,,0.0,1,0.0,,0.0,0.0,0.0,0,0.0
14,14,9700000,1155,Kharghar,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.0,0.0,1.0,0.0,0,1.0,0.0,1.0,1,1,,0.0,0.0,0.0,0,0,0,0,1.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0,0.0
15,15,10500000,1150,Kharghar,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.0,0.0,1.0,0.0,0,1.0,0.0,,1,1,,0.0,,0.0,0,0,0,0,1.0,,,1,0.0,0.0,0.0,1.0,1.0,1,0.0
16,16,8000000,1250,Sector 18 Kharghar,2.0,1.0,1.0,1.0,0.0,1.0,0.0,1,0.0,0.0,1.0,0.0,0,0.0,0.0,1.0,1,1,0.0,0.0,0.0,0.0,0,1,0,1,1.0,1.0,0.0,1,,0.0,0.0,0.0,0.0,0,
